matrix_name rows cols nnz block_size scramble algo mask tau centroid VBR_nzcount VBR_nzblocks_count VBR_average_height VBR_longest_row
144 144649 144649 1074393 16 0 clubs 1 01 64 174535632 681824 15.999 207
144 144649 144649 1074393 16 0 clubs 1 03 64 174294224 680881 15.999 206
144 144649 144649 1074393 16 0 clubs 1 06 64 172167360 672576 15.9989 203
144 144649 144649 1074393 16 0 clubs 1 09 64 113451104 443192 15.9991 129
144 144649 144649 1074393 16 0 clubs 16 01 64 173451472 677589 15.999 207
144 144649 144649 1074393 16 0 clubs 16 03 64 172613328 674315 15.999 206
144 144649 144649 1074393 16 0 clubs 16 06 64 162928576 636487 15.9988 204
144 144649 144649 1074393 16 0 clubs 16 09 64 121138016 473219 15.9992 121
144 144649 144649 1074393 16 0 clubs 64 01 64 173583312 678104 15.999 207
144 144649 144649 1074393 16 0 clubs 64 03 64 173426896 677493 15.999 209
144 144649 144649 1074393 16 0 clubs 64 06 64 162713792 635648 15.9988 208
144 144649 144649 1074393 16 0 clubs 64 09 64 151291472 591009 15.9993 161
144 144649 144649 1074393 16 0 clubs 256 01 64 174179024 680431 15.999 207
144 144649 144649 1074393 16 0 clubs 256 03 64 172642256 674428 15.999 207
144 144649 144649 1074393 16 0 clubs 256 06 64 160983520 628890 15.9988 196
144 144649 144649 1074393 16 0 clubs 256 09 64 176669040 690134 15.9995 196
144 144649 144649 1074393 16 0 clubs 1 01 64 174535632 681824 15.999 207
144 144649 144649 1074393 16 0 clubs 1 03 64 174294224 680881 15.999 206
144 144649 144649 1074393 16 0 clubs 1 06 64 172167360 672576 15.9989 203
144 144649 144649 1074393 16 0 clubs 1 09 64 113451104 443192 15.9991 129
144 144649 144649 1074393 16 0 clubs 16 01 64 173451472 677589 15.999 207
144 144649 144649 1074393 16 0 clubs 16 03 64 172613328 674315 15.999 206
144 144649 144649 1074393 16 0 clubs 16 06 64 162928576 636487 15.9988 204
144 144649 144649 1074393 16 0 clubs 16 09 64 121138016 473219 15.9992 121
144 144649 144649 1074393 16 0 clubs 64 01 64 173583312 678104 15.999 207
144 144649 144649 1074393 16 0 clubs 64 03 64 173426896 677493 15.999 209
144 144649 144649 1074393 16 0 clubs 64 06 64 162713792 635648 15.9988 208
144 144649 144649 1074393 16 0 clubs 64 09 64 151291472 591009 15.9993 161
144 144649 144649 1074393 16 0 clubs 256 01 64 174179024 680431 15.999 207
144 144649 144649 1074393 16 0 clubs 256 03 64 172642256 674428 15.999 207
144 144649 144649 1074393 16 0 clubs 256 06 64 160983520 628890 15.9988 196
144 144649 144649 1074393 16 0 clubs 256 09 64 176669040 690134 15.9995 196
144 144649 144649 1074393 16 0 clubs 1 01 128 174554832 681899 15.999 207
144 144649 144649 1074393 16 0 clubs 1 03 128 174288592 680859 15.999 206
144 144649 144649 1074393 16 0 clubs 1 06 128 172172992 672598 15.9989 203
