matrix,rows,cols,nonzeros,symmetrize,blocking_algo,tau,row_block_size,col_block_size,use_pattern,sim_use_groups,sim_measure,reorder,exp_name,b_cols,warmup,exp_repetitions,multiplication_algo,n_streams,time_to_block,time_to_merge,time_to_compare,VBR_nzcount,VBR_nzblocks_count,VBR_average_height,VBR_longest_row,merge_counter,comparison_counter,average_merge_tau,average_row_distance,avg_time_multiply,std_time_multiply,
../Gen2//1_N_12_x_2.el,4096,4096,163840,1,2,0.000000,1024,1024,1,0,1,0,blocking_G_1_N_12_x_2_b_1024_B_1024_a_2_t_0_p__g__r__F_1,1024,1,5,0,4,0.000000,0.000000,0.000000,16777216,16,1024.000000,4,0,0,0.000000,0.000000,0.000000,0.000000,
../Gen2//1_N_12_x_2.el,4096,4096,163840,1,5,0.001000,1024,1024,1,0,1,0,blocking_G_1_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.001_p_1_g_0_r_0_F_1,1024,1,5,0,4,80065.000000,9243.000000,79993.000000,16777216,16,1024.000000,4,2987,9211,0.000002,529.604309,0.000000,0.000000,
../Gen2//1_N_12_x_2.el,4096,4096,163840,1,5,0.010000,1024,1024,1,0,1,0,blocking_G_1_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.01_p_1_g_0_r_0_F_1,1024,1,5,0,4,96481.000000,4168.000000,96398.000000,16777216,16,1024.000000,4,1340,10235,0.000045,561.530579,0.000000,0.000000,
../Gen2//1_N_12_x_2.el,4096,4096,163840,1,5,0.100000,1024,1024,1,0,1,0,blocking_G_1_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.1_p_1_g_0_r_0_F_1,1024,1,5,0,4,87047.000000,626.000000,86958.000000,16777216,16,1024.000000,4,323,10236,0.000266,698.198120,0.000000,0.000000,
../Gen2//1_N_12_x_2.el,4096,4096,163840,1,5,0.200000,1024,1024,1,0,1,0,blocking_G_1_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.2_p_1_g_0_r_0_F_1,1024,1,5,0,4,86767.000000,641.000000,86677.000000,16777216,16,1024.000000,4,323,10236,0.000266,698.198120,0.000000,0.000000,
../Gen2//1_N_12_x_2.el,4096,4096,163840,1,5,0.400000,1024,1024,1,0,1,0,blocking_G_1_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.4_p_1_g_0_r_0_F_1,1024,1,5,0,4,97089.000000,4231.000000,97003.000000,16777216,16,1024.000000,4,1343,10236,0.000315,2560.592041,0.000000,0.000000,
../Gen2//1_N_12_x_2.el,4096,4096,163840,1,5,0.600000,1024,1024,1,0,1,0,blocking_G_1_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.6_p_1_g_0_r_0_F_1,1024,1,5,0,4,41549.000000,13229.000000,41544.000000,16777216,16,1024.000000,4,4092,4092,0.001291,512.000000,0.000000,0.000000,
../Gen2//1_N_12_x_2.el,4096,4096,163840,1,5,0.800000,1024,1024,1,0,1,0,blocking_G_1_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.8_p_1_g_0_r_0_F_1,1024,1,5,0,4,41889.000000,13360.000000,41883.000000,16777216,16,1024.000000,4,4092,4092,0.001291,512.000000,0.000000,0.000000,
../Gen2//1_N_12_x_2.el,4096,4096,163840,1,2,0.000000,128,128,1,0,1,0,blocking_G_1_N_12_x_2_b_128_B_128_a_2_t_0_p__g__r__F_1,1024,1,5,0,4,0.000000,0.000000,0.000000,16777216,1024,128.000000,32,0,0,0.000000,0.000000,0.000000,0.000000,
../Gen2//1_N_12_x_2.el,4096,4096,163840,1,5,0.001000,128,128,1,0,1,0,blocking_G_1_N_12_x_2_b_128_B_128_a_5_m_1_t_0.001_p_1_g_0_r_0_F_1,1024,1,5,0,4,53373.000000,0.000000,53289.000000,16777216,1024,128.000000,32,0,49215,-nan,-nan,0.000000,0.000000,
