matrix,rows,cols,nonzeros,symmetrize,blocking_algo,tau,row_block_size,col_block_size,use_pattern,sim_use_groups,sim_measure,reorder,exp_name,b_cols,warmup,exp_repetitions,multiplication_algo,n_streams,time_to_block,time_to_merge,time_to_compare,VBR_nzcount,VBR_nzblocks_count,VBR_average_height,VBR_longest_row,merge_counter,comparison_counter,average_merge_tau,average_row_distance,avg_time_multiply,std_time_multiply,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0001.el,1014,1010,104,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.073427,0.000000,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0001.el,1014,1010,104,0,3,0.500000,1,1,1,0,1,0,,8192,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.093267,0.000000,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0002.el,1014,1015,209,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.053334,0.000000,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0002.el,1014,1015,209,0,3,0.500000,1,1,1,0,1,0,,8192,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.074611,0.000000,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0005.el,1024,1016,524,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.055290,0.000000,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0005.el,1024,1016,524,0,3,0.500000,1,1,1,0,1,0,,8192,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.066170,0.000000,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0010.el,1024,1022,1048,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.042656,0.000000,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0020.el,1024,1024,2097,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.042634,0.000000,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0010.el,1024,1022,1048,0,3,0.500000,1,1,1,0,1,0,,8192,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.093082,0.000000,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0050.el,1024,1024,5242,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.039098,0.000000,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0100.el,1024,1024,10485,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.039670,0.000000,
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0100.el,1024,1024,10485,0,3,0.500000,1,1,1,0,1,0,,8192,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.179706,0.000000,
