matrix,rows,cols,nonzeros,blocking_algo,tau,row_block_size,col_block_size,use_pattern,sim_use_groups,sim_measure,reorder,exp_name,b_cols,warmup,exp_repetitions,multiplication_algo,n_streams,time_to_block,time_to_merge,time_to_compare,VBR_nzcount,VBR_nzblocks_count,VBR_average_height,VBR_longest_row,merge_counter,comparison_counter,average_merge_tau,average_row_distance,avg_time_multiply,std_time_multiply
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0001.el,1014,1010,104,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.093013,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0001.el,1014,1010,104,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.102421,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0002.el,1014,1015,209,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.058315,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0005.el,1024,1016,524,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.058432,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0005.el,1024,1016,524,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.074229,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0010.el,1024,1022,1048,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.060224,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0010.el,1024,1022,1048,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.097109,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0010.el,8192,8192,67108,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.339125,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0020.el,1024,1024,2097,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.104512,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0050.el,1024,1024,5242,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.388213,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0050.el,1024,1024,5242,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.15216,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0100.el,1024,1024,10485,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.062592,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0002.el,1014,1015,209,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.083211,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0200.el,1024,1024,20971,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.087435,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0200.el,1024,1024,20971,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.389824,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0500.el,1024,1024,52428,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.631243,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_1000.el,1024,1024,104857,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.242592,0
