matrix,row_block_size,col_block_size,tau
data/suitsparse_N20000_100000_dN0.0001_0.1//208bit.mtx,64,64,0.5
data/suitsparse_N20000_100000_dN0.0001_0.1//208bit.mtx,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//208bit.mtx,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//208bit.mtx,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//208bit.mtx,1024,1024,0.01
data/suitsparse_N20000_100000_dN0.0001_0.1//2D_27628_bjtcai.el,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//2D_27628_bjtcai.el,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//2D_27628_bjtcai.el,256,256,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//2D_27628_bjtcai.el,512,512,0.6
data/suitsparse_N20000_100000_dN0.0001_0.1//2D_27628_bjtcai.el,1024,1024,0.3
data/suitsparse_N20000_100000_dN0.0001_0.1//3D_28984_Tetra.el,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//3D_28984_Tetra.el,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//3D_28984_Tetra.el,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//3D_28984_Tetra.el,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//3D_28984_Tetra.el,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//3dtube.el,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//3dtube.el,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//3dtube.el,256,256,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//3dtube.el,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//3dtube.el,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//Chevron1.el,64,64,0.4
data/suitsparse_N20000_100000_dN0.0001_0.1//Chevron1.el,128,128,0.4
data/suitsparse_N20000_100000_dN0.0001_0.1//Chevron1.el,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//Chevron1.el,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//Chevron1.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//EAT_RS.mtx,64,64,0.6
data/suitsparse_N20000_100000_dN0.0001_0.1//EAT_RS.mtx,128,128,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//EAT_RS.mtx,256,256,0.2
data/suitsparse_N20000_100000_dN0.0001_0.1//EAT_RS.mtx,512,512,0.1
data/suitsparse_N20000_100000_dN0.0001_0.1//EAT_RS.mtx,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//EAT_SR.mtx,64,64,0.01
data/suitsparse_N20000_100000_dN0.0001_0.1//EAT_SR.mtx,128,128,0.01
data/suitsparse_N20000_100000_dN0.0001_0.1//EAT_SR.mtx,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//EAT_SR.mtx,512,512,0.01
data/suitsparse_N20000_100000_dN0.0001_0.1//EAT_SR.mtx,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//Goodwin_054.el,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//Goodwin_054.el,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//Goodwin_054.el,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//Goodwin_054.el,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//Goodwin_054.el,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//HEP-th.el,64,64,0.6
data/suitsparse_N20000_100000_dN0.0001_0.1//HEP-th.el,128,128,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//HEP-th.el,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//HEP-th.el,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//HEP-th.el,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//OPF_10000.el,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//OPF_10000.el,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//OPF_10000.el,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//OPF_10000.el,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//OPF_10000.el,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//SiO.el,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//SiO.el,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//SiO.el,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//SiO.el,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//SiO.el,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_FS_b300.el,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_FS_b300.el,128,128,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_FS_b300.el,256,256,0.4
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_FS_b300.el,512,512,0.01
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_FS_b300.el,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b2383.el,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b2383.el,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b2383.el,256,256,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b2383.el,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b2383.el,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b39_c19.el,64,64,0.001
