exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,scramble,Warmup,Repetitions,Algorithm,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,
default,2,data/real-graphs/CA-CondMat.txt,23133,23133,5,1.000000,186936,0.500000,0.500000,4,saad_blocks,32,0.300000,scalar,1,1,0,5,-1,13.204089,0.056148,34651976.000000,167869.734375,3004.199951,15.065192,82020.000000,87.189445,1.000000,0.000000,101.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,23133,23133,5,1.000000,186936,0.500000,0.500000,4,saad_blocks,64,0.300000,scalar,1,1,0,5,-1,21.115677,0.086097,90781952.000000,304858.218750,2077.800049,9.086253,67231.398438,141.365616,1.000000,0.000000,229.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,23133,23133,5,1.000000,186936,0.500000,0.500000,4,saad_blocks,32,0.400000,scalar,1,1,0,5,-1,6.408211,0.012337,19195884.000000,28036.339844,5277.799805,12.859239,93619.796875,52.700665,1.000000,0.000000,30.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,23133,23133,5,1.000000,186936,0.500000,0.500000,4,saad_blocks,64,0.400000,scalar,1,1,0,5,-1,8.195934,0.067050,44522412.000000,399962.500000,4338.200195,24.652788,84942.796875,231.850281,1.000000,0.000000,77.000000,9.528904,
default,2,data/real-graphs/CA-CondMat.txt,23133,23133,5,1.000000,186936,0.500000,0.500000,4,saad_blocks,32,0.500000,scalar,1,1,0,5,-1,3.274184,0.002182,11497678.000000,5892.020996,9115.799805,6.675327,109749.601562,30.838936,1.000000,0.000000,26.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,23133,23133,5,1.000000,186936,0.500000,0.500000,4,saad_blocks,64,0.500000,scalar,1,1,0,5,-1,4.002180,0.011896,26006374.000000,81895.460938,7848.399902,7.889233,101598.203125,50.320572,1.000000,0.000000,26.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,23133,23133,5,1.000000,186936,0.500000,0.500000,4,saad_blocks,32,0.600000,scalar,1,1,0,5,-1,1.925058,0.000646,8093273.000000,1996.040894,12848.400391,2.939388,131395.000000,12.312595,1.000000,0.000000,24.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,23133,23133,5,1.000000,186936,0.500000,0.500000,4,saad_blocks,64,0.600000,scalar,1,1,0,5,-1,2.153819,0.000770,17082620.000000,4663.458008,11587.400391,3.006659,124015.000000,11.815245,1.000000,0.000000,24.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,23133,23133,5,1.000000,186936,0.500000,0.500000,4,saad_blocks,32,0.700000,scalar,1,1,0,5,-1,1.388470,0.000179,6657127.000000,484.036377,15277.599609,2.653300,149847.000000,9.208692,1.000000,0.000000,20.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,23133,23133,5,1.000000,186936,0.500000,0.500000,4,saad_blocks,64,0.700000,scalar,1,1,0,5,-1,1.450241,0.000305,13385995.000000,2480.823486,14451.000000,1.897367,144315.203125,5.600001,1.000000,0.000000,23.000000,0.000000,
