exp_name,input_type,input_source,reorder_algorithm,rows,cols,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,algo_block_size,epsilon,scramble,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,16,0.350000,1,9.058079,0.000000,17775088.000000,0.000000,4689.000000,0.000000,122661.000000,0.000000,1.000000,0.000000,70.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,16,0.350000,1,4.171436,0.000000,7735182.000000,0.000000,7382.000000,0.000000,115909.000000,0.000000,1.000000,0.000000,39.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,16,0.350000,3,9.204935,0.000000,18411740.000000,0.000000,4772.000000,0.000000,125025.000000,0.000000,1.000000,0.000000,105.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,16,0.350000,3,4.229453,0.000000,7985080.000000,0.000000,7370.000000,0.000000,118007.000000,0.000000,1.000000,0.000000,41.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,32,0.350000,1,14.310366,0.000000,55539400.000000,0.000000,4283.000000,0.000000,121299.000000,0.000000,1.000000,0.000000,112.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,32,0.350000,1,4.162311,0.000000,15131032.000000,0.000000,7382.000000,0.000000,113615.000000,0.000000,1.000000,0.000000,39.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,32,0.350000,3,14.356443,0.000000,57339144.000000,0.000000,4412.000000,0.000000,124825.000000,0.000000,1.000000,0.000000,151.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,32,0.350000,3,4.222158,0.000000,15739784.000000,0.000000,7370.000000,0.000000,116507.000000,0.000000,1.000000,0.000000,41.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,64,0.350000,1,21.358984,0.000000,156225728.000000,0.000000,3745.000000,0.000000,114398.000000,0.000000,1.000000,0.000000,205.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,64,0.350000,1,4.146849,0.000000,29204664.000000,0.000000,7382.000000,0.000000,110120.000000,0.000000,1.000000,0.000000,39.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,64,0.350000,3,21.125010,0.000000,160180720.000000,0.000000,3859.000000,0.000000,118567.000000,0.000000,1.000000,0.000000,224.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,64,0.350000,3,4.204136,0.000000,30532840.000000,0.000000,7370.000000,0.000000,113537.000000,0.000000,1.000000,0.000000,41.000000,0.000000,
