rows,cols,B_cols,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,cusparse_spmm_mean(ms),cusparse_spmm_std
1024,1024,1024,20,0.01,0.001,32,0.062389,0.001795
1024,1024,1024,30,0.01,0.002,32,0.063093,0.001242
1024,1024,1024,60,0.01,0.005,32,0.080853,0.000396
1024,1024,1024,110,0.01,0.01,32,0.095019,0.000743
1024,1024,1024,210,0.01,0.02,32,0.12036300000000001,0.000733
1024,1024,1024,1030,0.01,0.1,32,0.30016,0.0011949999999999999
1024,1024,1024,2050,0.01,0.2,32,0.423872,0.00042
1024,1024,1024,102,0.05,0.001,32,0.10285899999999999,0.002404
1024,1024,1024,153,0.05,0.002,32,0.10258099999999999,0.001748
1024,1024,1024,306,0.05,0.005,32,0.104085,0.001257
1024,1024,1024,561,0.05,0.01,32,0.12231500000000001,0.001451
1024,1024,1024,1071,0.05,0.02,32,0.142283,0.001359
1024,1024,1024,5253,0.05,0.1,32,0.1248,0.002398
1024,1024,1024,10455,0.05,0.2,32,0.135691,0.0019690000000000003
1024,1024,1024,204,0.1,0.001,32,0.10030900000000001,0.0038130000000000004
1024,1024,1024,306,0.1,0.002,32,0.11396300000000001,0.00314
1024,1024,1024,612,0.1,0.005,32,0.13678900000000002,0.002572
1024,1024,1024,1122,0.1,0.01,32,0.15604300000000002,0.002408
1024,1024,1024,2142,0.1,0.02,32,0.19776,0.001301
1024,1024,1024,10506,0.1,0.1,32,0.141973,0.001271
1024,1024,1024,20910,0.1,0.2,32,0.166699,0.001405
1024,1024,1024,408,0.2,0.001,32,0.12277300000000001,0.001007
1024,1024,1024,612,0.2,0.002,32,0.122699,0.002208
1024,1024,1024,1224,0.2,0.005,32,0.166773,0.00081
1024,1024,1024,2244,0.2,0.01,32,0.23559499999999997,0.003378
1024,1024,1024,4284,0.2,0.02,32,0.123776,0.001186
1024,1024,1024,21012,0.2,0.1,32,0.171851,0.0031309999999999997
1024,1024,1024,41820,0.2,0.2,32,0.233312,0.0011359999999999999
1024,1024,1024,1024,0.5,0.001,32,0.17228800000000002,0.002437
1024,1024,1024,1536,0.5,0.002,32,0.225323,0.0015019999999999999
1024,1024,1024,3072,0.5,0.005,32,0.162688,0.001574
1024,1024,1024,5632,0.5,0.01,32,0.179957,0.004438
1024,1024,1024,10752,0.5,0.02,32,0.21246900000000002,0.0016879999999999998
1024,1024,1024,52736,0.5,0.1,32,0.393579,0.028473000000000002
1024,1024,1024,104960,0.5,0.2,32,0.7053229999999999,0.039428
1024,1024,1024,10,0.01,0.001,64,0.064501,0.005776
1024,1024,1024,18,0.01,0.002,64,0.062955,0.0014960000000000002
1024,1024,1024,42,0.01,0.005,64,0.083755,0.001112
1024,1024,1024,82,0.01,0.01,64,0.09756799999999999,0.000656
1024,1024,1024,164,0.01,0.02,64,0.12179200000000001,0.002822
1024,1024,1024,820,0.01,0.1,64,0.19722699999999999,0.0015199999999999999
1024,1024,1024,1640,0.01,0.2,64,0.314069,0.000868
1024,1024,1024,60,0.05,0.001,64,0.08512,0.0016699999999999998
1024,1024,1024,108,0.05,0.002,64,0.09568,0.004783
1024,1024,1024,252,0.05,0.005,64,0.11070899999999999,0.0043289999999999995
1024,1024,1024,492,0.05,0.01,64,0.125579,0.000489
1024,1024,1024,984,0.05,0.02,64,0.156693,0.001629
1024,1024,1024,4920,0.05,0.1,64,0.164555,0.00099
1024,1024,1024,9840,0.05,0.2,64,0.170827,0.0009130000000000001
1024,1024,1024,125,0.1,0.001,64,0.086464,0.0025039999999999997
1024,1024,1024,225,0.1,0.002,64,0.085792,0.002284
1024,1024,1024,525,0.1,0.005,64,0.142048,0.001437
1024,1024,1024,1025,0.1,0.01,64,0.161184,0.0016640000000000001
1024,1024,1024,2050,0.1,0.02,64,0.17019700000000001,0.001925
1024,1024,1024,10250,0.1,0.1,64,0.128277,0.001518
1024,1024,1024,20500,0.1,0.2,64,0.162773,0.000692
1024,1024,1024,255,0.2,0.001,64,0.136213,0.0024690000000000003
1024,1024,1024,459,0.2,0.002,64,0.16288,0.002329
1024,1024,1024,1071,0.2,0.005,64,0.228384,0.0016170000000000002
1024,1024,1024,2091,0.2,0.01,64,0.23000500000000001,0.004947999999999999
1024,1024,1024,4182,0.2,0.02,64,0.149739,0.001791
1024,1024,1024,20910,0.2,0.1,64,0.19809100000000002,0.016056
1024,1024,1024,41820,0.2,0.2,64,0.267797,0.004913
1024,1024,1024,640,0.5,0.001,64,0.154528,0.0017800000000000001
1024,1024,1024,1152,0.5,0.002,64,0.190432,0.0024739999999999996
1024,1024,1024,2688,0.5,0.005,64,0.14813900000000002,0.003339
1024,1024,1024,5248,0.5,0.01,64,0.21250100000000002,0.0034700000000000004
1024,1024,1024,10496,0.5,0.02,64,0.25066700000000003,0.006786
1024,1024,1024,52480,0.5,0.1,64,0.342965,0.037173000000000005
1024,1024,1024,104960,0.5,0.2,64,0.747061,0.032568
1024,1024,1024,51,0.05,0.001,128,0.072587,0.002089
