exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,scramble,Warmup,Repetitions,Algorithm,VBSmm_mean(ms),VBSmm_std,cusparse_spmm_mean(ms),cusparse_spmm_std,
default,4,NO_INPUT,1024,1024,1024,1.000000,60,0.050000,0.001000,64,saad,1,0.500000,scalar,1,0,1,3,-1,0.303979,0.022960,0.081195,0.002420,
default,4,NO_INPUT,1024,1024,1024,1.000000,492,0.050000,0.010000,64,saad,1,0.500000,scalar,1,0,1,3,-1,0.302709,0.008837,0.122123,0.001082,
default,4,NO_INPUT,1024,1024,1024,1.000000,4920,0.050000,0.100000,64,saad,1,0.500000,scalar,1,0,1,3,-1,0.301344,0.010098,0.162880,0.002222,
default,4,NO_INPUT,1024,1024,1024,1.000000,125,0.100000,0.001000,64,saad,1,0.500000,scalar,1,0,1,3,-1,0.427776,0.014233,0.080971,0.002191,
default,4,NO_INPUT,1024,1024,1024,1.000000,1025,0.100000,0.010000,64,saad,1,0.500000,scalar,1,0,1,3,-1,0.438784,0.026870,0.161205,0.000761,
default,4,NO_INPUT,1024,1024,1024,1.000000,10250,0.100000,0.100000,64,saad,1,0.500000,scalar,1,0,1,3,-1,0.432203,0.014597,0.126603,0.000476,
default,4,NO_INPUT,1024,1024,1024,1.000000,255,0.200000,0.001000,64,saad,1,0.500000,scalar,1,0,1,3,-1,0.710293,0.002772,0.134955,0.001234,
default,4,NO_INPUT,1024,1024,1024,1.000000,2091,0.200000,0.010000,64,saad,1,0.500000,scalar,1,0,1,3,-1,0.713621,0.022137,0.221429,0.006067,
default,4,NO_INPUT,1024,1024,1024,1.000000,20910,0.200000,0.100000,64,saad,1,0.500000,scalar,1,0,1,3,-1,0.694016,0.014422,0.191904,0.011465,
default,4,NO_INPUT,1024,1024,1024,1.000000,640,0.500000,0.001000,64,saad,1,0.500000,scalar,1,0,1,3,-1,1.509973,0.059410,0.150741,0.000268,
default,4,NO_INPUT,1024,1024,1024,1.000000,5248,0.500000,0.010000,64,saad,1,0.500000,scalar,1,0,1,3,-1,1.561280,0.053478,0.208928,0.006465,
default,4,NO_INPUT,1024,1024,1024,1.000000,52480,0.500000,0.100000,64,saad,1,0.500000,scalar,1,0,1,3,-1,1.488704,0.044848,0.324597,0.007260,
default,4,NO_INPUT,1024,1024,1024,1.000000,51,0.050000,0.001000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.140000,0.060403,0.069984,0.000793,
default,4,NO_INPUT,1024,1024,1024,1.000000,492,0.050000,0.010000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.141611,0.061637,0.123285,0.000200,
default,4,NO_INPUT,1024,1024,1024,1.000000,4917,0.050000,0.100000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.147435,0.066725,0.153045,0.000425,
default,4,NO_INPUT,1024,1024,1024,1.000000,102,0.100000,0.001000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.194880,0.076148,0.100960,0.001748,
default,4,NO_INPUT,1024,1024,1024,1.000000,984,0.100000,0.010000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.174187,0.065187,0.163691,0.002785,
default,4,NO_INPUT,1024,1024,1024,1.000000,9834,0.100000,0.100000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.177397,0.066299,0.148245,0.008652,
default,4,NO_INPUT,1024,1024,1024,1.000000,204,0.200000,0.001000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.239680,0.057895,0.100117,0.003164,
default,4,NO_INPUT,1024,1024,1024,1.000000,1968,0.200000,0.010000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.250560,0.068630,0.171040,0.002103,
default,4,NO_INPUT,1024,1024,1024,1.000000,19668,0.200000,0.100000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.244469,0.062205,0.149408,0.001685,
default,4,NO_INPUT,1024,1024,1024,1.000000,544,0.500000,0.001000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.488427,0.069149,0.132107,0.002483,
default,4,NO_INPUT,1024,1024,1024,1.000000,5248,0.500000,0.010000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.501109,0.080284,0.203221,0.003901,
default,4,NO_INPUT,1024,1024,1024,1.000000,52448,0.500000,0.100000,128,saad,1,0.500000,scalar,1,0,1,3,-1,0.470389,0.079190,0.353472,0.010260,
default,4,NO_INPUT,1024,1024,1024,1.000000,66,0.100000,0.001000,256,saad,1,0.500000,scalar,1,0,1,3,-1,0.086037,0.069553,0.080277,0.000559,
default,4,NO_INPUT,1024,1024,1024,1.000000,656,0.100000,0.010000,256,saad,1,0.500000,scalar,1,0,1,3,-1,0.081515,0.063193,0.182091,0.003280,
default,4,NO_INPUT,1024,1024,1024,1.000000,6554,0.100000,0.100000,256,saad,1,0.500000,scalar,1,0,1,3,-1,0.085515,0.067241,0.146368,0.003157,
default,4,NO_INPUT,1024,1024,1024,1.000000,198,0.200000,0.001000,256,saad,1,0.500000,scalar,1,0,1,3,-1,0.122997,0.065245,0.093141,0.001556,
default,4,NO_INPUT,1024,1024,1024,1.000000,1968,0.200000,0.010000,256,saad,1,0.500000,scalar,1,0,1,3,-1,0.121824,0.067656,0.191552,0.003191,
default,4,NO_INPUT,1024,1024,1024,1.000000,19662,0.200000,0.100000,256,saad,1,0.500000,scalar,1,0,1,3,-1,0.116704,0.059514,0.145600,0.000464,
default,4,NO_INPUT,1024,1024,1024,1.000000,528,0.500000,0.001000,256,saad,1,0.500000,scalar,1,0,1,3,-1,0.200480,0.061945,0.128181,0.002413,
default,4,NO_INPUT,1024,1024,1024,1.000000,5248,0.500000,0.010000,256,saad,1,0.500000,scalar,1,0,1,3,-1,0.207467,0.070274,0.168928,0.001568,
default,4,NO_INPUT,1024,1024,1024,1.000000,52432,0.500000,0.100000,256,saad,1,0.500000,scalar,1,0,1,3,-1,0.201323,0.060614,0.264000,0.005941,
default,4,NO_INPUT,1024,1024,2048,1.000000,60,0.050000,0.001000,64,saad,1,0.500000,scalar,1,0,1,3,-1,0.333376,0.001494,0.153280,0.000326,
