matrix,rows,cols,nonzeros,symmetrize,blocking_algo,tau,row_block_size,col_block_size,use_pattern,sim_use_groups,sim_measure,reorder,exp_name,b_cols,warmup,exp_repetitions,multiplication_algo,n_streams,time_to_block,time_to_merge,time_to_compare,VBR_nzcount,VBR_nzblocks_count,VBR_average_height,VBR_longest_row,merge_counter,comparison_counter,average_merge_tau,average_row_distance,avg_time_multiply,std_time_multiply,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,2,0.000000,1024,1024,1,0,1,0,blocking_G_N_13_x_2_b_1024_B_1024_a_2_t_0_p__g__r__F_1,1024,1,5,0,4,0.000000,0.000000,0.000000,67076096,64,1023.500000,8,0,0,0.000000,0.000000,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.001000,1024,1024,1,0,1,0,blocking_G_N_13_x_2_b_1024_B_1024_a_5_m_1_t_0.001_p_1_g_0_r_0_F_1,1024,1,5,0,4,341230.000000,6897.000000,340791.000000,63930368,61,1023.475403,8,949,31401,0.000014,2287.164307,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.010000,1024,1024,1,0,1,0,blocking_G_N_13_x_2_b_1024_B_1024_a_5_m_1_t_0.01_p_1_g_0_r_0_F_1,1024,1,5,0,4,230129.000000,4310.000000,229749.000000,67076096,64,1023.500000,8,908,28444,0.001106,1297.670654,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.100000,1024,1024,1,0,1,0,blocking_G_N_13_x_2_b_1024_B_1024_a_5_m_1_t_0.1_p_1_g_0_r_0_F_1,1024,1,5,0,4,193938.000000,2138.000000,193556.000000,67076096,64,1023.500000,8,1238,25508,0.002686,2711.900635,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.200000,1024,1024,1,0,1,0,blocking_G_N_13_x_2_b_1024_B_1024_a_5_m_1_t_0.2_p_1_g_0_r_0_F_1,1024,1,5,0,4,193485.000000,1937.000000,193131.000000,67076096,64,1023.500000,8,1078,28500,0.003832,2080.399902,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.400000,1024,1024,1,0,1,0,blocking_G_N_13_x_2_b_1024_B_1024_a_5_m_1_t_0.4_p_1_g_0_r_0_F_1,1024,1,5,0,4,184228.000000,25254.000000,183982.000000,67076096,64,1023.500000,8,4801,25044,0.040532,1557.406982,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.600000,1024,1024,1,0,1,0,blocking_G_N_13_x_2_b_1024_B_1024_a_5_m_1_t_0.6_p_1_g_0_r_0_F_1,1024,1,5,0,4,137611.000000,26355.000000,137360.000000,67076096,64,1023.500000,8,5807,23327,0.075632,1154.583130,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.800000,1024,1024,1,0,1,0,blocking_G_N_13_x_2_b_1024_B_1024_a_5_m_1_t_0.8_p_1_g_0_r_0_F_1,1024,1,5,0,4,130931.000000,26242.000000,130715.000000,67076096,64,1023.500000,8,6641,22860,0.094230,1279.373169,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,2,0.000000,128,128,1,0,1,0,blocking_G_N_13_x_2_b_128_B_128_a_2_t_0_p__g__r__F_1,1024,1,5,0,4,0.000000,0.000000,0.000000,65280000,3986,127.947815,64,0,0,0.000000,0.000000,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.001000,128,128,1,0,1,0,blocking_G_N_13_x_2_b_128_B_128_a_5_m_1_t_0.001_p_1_g_0_r_0_F_1,1024,1,5,0,4,313306.000000,32.000000,312695.000000,62586880,3822,127.933022,64,290,214540,0.000000,865.786194,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.010000,128,128,1,0,1,0,blocking_G_N_13_x_2_b_128_B_128_a_5_m_1_t_0.01_p_1_g_0_r_0_F_1,1024,1,5,0,4,244009.000000,32.000000,243406.000000,62219264,3799,127.951569,64,283,158105,0.000000,1554.392212,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.100000,128,128,1,0,1,0,blocking_G_N_13_x_2_b_128_B_128_a_5_m_1_t_0.1_p_1_g_0_r_0_F_1,1024,1,5,0,4,242690.000000,2533.000000,242245.000000,62128128,3794,127.932526,64,642,174627,0.018586,777.619934,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.200000,128,128,1,0,1,0,blocking_G_N_13_x_2_b_128_B_128_a_5_m_1_t_0.2_p_1_g_0_r_0_F_1,1024,1,5,0,4,221501.000000,5316.000000,220969.000000,62636032,3825,127.933075,64,897,189827,0.066013,741.884033,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.400000,128,128,1,0,1,0,blocking_G_N_13_x_2_b_128_B_128_a_5_m_1_t_0.4_p_1_g_0_r_0_F_1,1024,1,5,0,4,180245.000000,15202.000000,179305.000000,62832640,3837,127.933281,64,3352,139537,0.096728,468.388123,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.600000,128,128,1,0,1,0,blocking_G_N_13_x_2_b_128_B_128_a_5_m_1_t_0.6_p_1_g_0_r_0_F_1,1024,1,5,0,4,116623.000000,20783.000000,115568.000000,62816256,3836,127.933266,64,5717,83329,0.123607,538.879456,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.800000,128,128,1,0,1,0,blocking_G_N_13_x_2_b_128_B_128_a_5_m_1_t_0.8_p_1_g_0_r_0_F_1,1024,1,5,0,4,101233.000000,22014.000000,100452.000000,64373248,3931,127.935898,64,6848,71323,0.143567,215.136688,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,2,0.000000,256,256,1,0,1,0,blocking_G_N_13_x_2_b_256_B_256_a_2_t_0_p__g__r__F_1,1024,1,5,0,4,0.000000,0.000000,0.000000,67010560,1023,255.874878,32,0,0,0.000000,0.000000,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.001000,256,256,1,0,1,0,blocking_G_N_13_x_2_b_256_B_256_a_5_m_1_t_0.001_p_1_g_0_r_0_F_1,1024,1,5,0,4,371012.000000,999.000000,369423.000000,63668224,972,255.868317,32,303,101518,0.000000,2418.511475,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.010000,256,256,1,0,1,0,blocking_G_N_13_x_2_b_256_B_256_a_5_m_1_t_0.01_p_1_g_0_r_0_F_1,1024,1,5,0,4,287299.000000,520.000000,285817.000000,63799296,974,255.868576,32,306,87817,0.000356,2291.160156,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.100000,256,256,1,0,1,0,blocking_G_N_13_x_2_b_256_B_256_a_5_m_1_t_0.1_p_1_g_0_r_0_F_1,1024,1,5,0,4,211353.000000,3058.000000,210097.000000,64258048,981,255.869522,32,641,95241,0.023750,2025.240234,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.200000,256,256,1,0,1,0,blocking_G_N_13_x_2_b_256_B_256_a_5_m_1_t_0.2_p_1_g_0_r_0_F_1,1024,1,5,0,4,224426.000000,11936.000000,223273.000000,63930368,976,255.868851,32,2013,98082,0.054572,1133.634888,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.400000,256,256,1,0,1,0,blocking_G_N_13_x_2_b_256_B_256_a_5_m_1_t_0.4_p_1_g_0_r_0_F_1,1024,1,5,0,4,182414.000000,15163.000000,181395.000000,66617344,1017,255.874146,32,2601,77201,0.097088,582.823120,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.600000,256,256,1,0,1,0,blocking_G_N_13_x_2_b_256_B_256_a_5_m_1_t_0.6_p_1_g_0_r_0_F_1,1024,1,5,0,4,127651.000000,25337.000000,126808.000000,64978944,992,255.870972,32,6250,63667,0.105111,555.756470,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.800000,256,256,1,0,1,0,blocking_G_N_13_x_2_b_256_B_256_a_5_m_1_t_0.8_p_1_g_0_r_0_F_1,1024,1,5,0,4,101478.000000,24939.000000,100888.000000,64847872,990,255.870712,32,6984,42743,0.130730,463.804840,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,2,0.000000,512,512,1,0,1,0,blocking_G_N_13_x_2_b_512_B_512_a_2_t_0_p__g__r__F_1,1024,1,5,0,4,0.000000,0.000000,0.000000,67076096,256,511.750000,16,0,0,0.000000,0.000000,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.001000,512,512,1,0,1,0,blocking_G_N_13_x_2_b_512_B_512_a_5_m_1_t_0.001_p_1_g_0_r_0_F_1,1024,1,5,0,4,371456.000000,5669.000000,370782.000000,62357504,238,511.731079,16,814,57813,0.000030,3826.340332,0.000000,0.000000,
data/rmats/rmatDN//N_13_x_2.el,8188,8192,663552,1,5,0.010000,512,512,1,0,1,0,blocking_G_N_13_x_2_b_512_B_512_a_5_m_1_t_0.01_p_1_g_0_r_0_F_1,1024,1,5,0,4,358203.000000,4786.000000,357131.000000,66551808,254,511.748016,16,607,55255,0.001563,752.677124,0.000000,0.000000,
