matrix,rows,cols,nonzeros,symmetrize,blocking_algo,tau,row_block_size,col_block_size,use_pattern,sim_use_groups,sim_measure,reorder,exp_name,b_cols,warmup,exp_repetitions,multiplication_algo,n_streams,time_to_block,time_to_merge,time_to_compare,VBR_nzcount,VBR_nzblocks_count,VBR_average_height,VBR_longest_row,merge_counter,comparison_counter,average_merge_tau,average_row_distance,avg_time_multiply,std_time_multiply,
../Gen2//2_N_12_x_2.el,4096,4096,163840,1,2,0.000000,1024,1024,1,0,1,0,blocking_G_2_N_12_x_2_b_1024_B_1024_a_2_t_0_p__g__r__F_1,1024,1,5,0,4,0.000000,0.000000,0.000000,16777216,16,1024.000000,4,0,0,0.000000,0.000000,0.000000,0.000000,
../Gen2//2_N_12_x_2.el,4096,4096,163840,1,5,0.001000,1024,1024,1,0,1,0,blocking_G_2_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.001_p_1_g_0_r_0_F_1,1024,1,5,0,4,68547.000000,3988.000000,68462.000000,16777216,16,1024.000000,4,1793,9904,0.000001,745.116028,0.000000,0.000000,
../Gen2//2_N_12_x_2.el,4096,4096,163840,1,5,0.010000,1024,1024,1,0,1,0,blocking_G_2_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.01_p_1_g_0_r_0_F_1,1024,1,5,0,4,44620.000000,748.000000,44547.000000,16777216,16,1024.000000,4,431,8244,0.000634,938.951294,0.000000,0.000000,
../Gen2//2_N_12_x_2.el,4096,4096,163840,1,5,0.100000,1024,1024,1,0,1,0,blocking_G_2_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.1_p_1_g_0_r_0_F_1,1024,1,5,0,4,48920.000000,714.000000,48844.000000,16777216,16,1024.000000,4,416,8209,0.001764,879.485596,0.000000,0.000000,
../Gen2//2_N_12_x_2.el,4096,4096,163840,1,5,0.200000,1024,1024,1,0,1,0,blocking_G_2_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.2_p_1_g_0_r_0_F_1,1024,1,5,0,4,45857.000000,587.000000,45787.000000,16777216,16,1024.000000,4,248,8209,0.001638,369.528229,0.000000,0.000000,
../Gen2//2_N_12_x_2.el,4096,4096,163840,1,5,0.400000,1024,1024,1,0,1,0,blocking_G_2_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.4_p_1_g_0_r_0_F_1,1024,1,5,0,4,46671.000000,654.000000,46598.000000,16777216,16,1024.000000,4,334,8295,0.000519,669.179626,0.000000,0.000000,
../Gen2//2_N_12_x_2.el,4096,4096,163840,1,5,0.600000,1024,1024,1,0,1,0,blocking_G_2_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.6_p_1_g_0_r_0_F_1,1024,1,5,0,4,47098.000000,4822.000000,47041.000000,16777216,16,1024.000000,4,2030,8190,0.013002,675.035950,0.000000,0.000000,
../Gen2//2_N_12_x_2.el,4096,4096,163840,1,5,0.800000,1024,1024,1,0,1,0,blocking_G_2_N_12_x_2_b_1024_B_1024_a_5_m_1_t_0.8_p_1_g_0_r_0_F_1,1024,1,5,0,4,29468.000000,8647.000000,29451.000000,16777216,16,1024.000000,4,3908,5266,0.027430,644.049133,0.000000,0.000000,
../Gen2//2_N_12_x_2.el,4096,4096,163840,1,2,0.000000,128,128,1,0,1,0,blocking_G_2_N_12_x_2_b_128_B_128_a_2_t_0_p__g__r__F_1,1024,1,5,0,4,0.000000,0.000000,0.000000,16777216,1024,128.000000,32,0,0,0.000000,0.000000,0.000000,0.000000,
../Gen2//2_N_12_x_2.el,4096,4096,163840,1,5,0.001000,128,128,1,0,1,0,blocking_G_2_N_12_x_2_b_128_B_128_a_5_m_1_t_0.001_p_1_g_0_r_0_F_1,1024,1,5,0,4,53173.000000,0.000000,53089.000000,16596992,1013,128.000000,32,0,51185,-nan,-nan,0.000000,0.000000,
