matrix,rows,cols,nonzeros,symmetrize,blocking_algo,tau,row_block_size,col_block_size,use_pattern,sim_use_groups,sim_measure,reorder,exp_name,b_cols,warmup,exp_repetitions,multiplication_algo,n_streams,time_to_block,time_to_merge,time_to_compare,VBR_nzcount,VBR_nzblocks_count,VBR_average_height,VBR_longest_row,merge_counter,comparison_counter,average_merge_tau,average_row_distance,avg_time_multiply,std_time_multiply,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,2,0.000000,1024,1024,1,0,1,0,blocking_G_144_b_1024_B_1024_a_2_t_0_p__g__r__F_1,1024,1,3,0,16,0.000000,0.000000,0.000000,14548348322,14059,1017.088928,140,0,0,0.000000,0.000000,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.001000,1024,1024,1,0,1,0,blocking_G_144_b_1024_B_1024_a_5_m_1_t_0.001_p_1_g_0_r_0_F_1,1024,1,3,0,16,79892360.000000,5324.000000,79733904.000000,15624184226,15064,1018.776001,142,997,7233981,0.000000,18463.423828,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.010000,1024,1024,1,0,1,0,blocking_G_144_b_1024_B_1024_a_5_m_1_t_0.01_p_1_g_0_r_0_F_1,1024,1,3,0,16,74706768.000000,10694.000000,74571376.000000,15495777698,14952,1017.716492,142,1383,6473307,0.000395,21802.214844,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.100000,1024,1024,1,0,1,0,blocking_G_144_b_1024_B_1024_a_5_m_1_t_0.1_p_1_g_0_r_0_F_1,1024,1,3,0,16,82447440.000000,19572.000000,82291904.000000,15522431394,14964,1018.741089,141,1555,7109608,0.006376,25002.605469,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.200000,1024,1024,1,0,1,0,blocking_G_144_b_1024_B_1024_a_5_m_1_t_0.2_p_1_g_0_r_0_F_1,1024,1,3,0,16,88744720.000000,14572.000000,88586280.000000,15352567202,14799,1018.736755,142,1900,8105963,0.013187,26918.136719,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.400000,1024,1024,1,0,1,0,blocking_G_144_b_1024_B_1024_a_5_m_1_t_0.4_p_1_g_0_r_0_F_1,1024,1,3,0,16,75235688.000000,63589.000000,75055512.000000,15416863138,14854,1019.242737,140,32671,6690705,0.096063,19575.773438,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.600000,1024,1024,1,0,1,0,blocking_G_144_b_1024_B_1024_a_5_m_1_t_0.6_p_1_g_0_r_0_F_1,1024,1,3,0,16,27177490.000000,346617.000000,27119516.000000,15039104418,14538,1016.543335,142,126963,2513124,0.113948,28926.003906,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.800000,1024,1024,1,0,1,0,blocking_G_144_b_1024_B_1024_a_5_m_1_t_0.8_p_1_g_0_r_0_F_1,1024,1,3,0,16,5272118.000000,325355.000000,5264224.000000,14607484322,14113,1017.342957,140,141313,468485,0.128635,3670.114990,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,2,0.000000,256,256,1,0,1,0,blocking_G_144_b_256_B_256_a_2_t_0_p__g__r__F_1,1024,1,3,0,16,0.000000,0.000000,0.000000,10627547392,162307,255.910065,471,0,0,0.000000,0.000000,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.001000,256,256,1,0,1,0,blocking_G_144_b_256_B_256_a_5_m_1_t_0.001_p_1_g_0_r_0_F_1,1024,1,3,0,16,86496024.000000,11627.000000,86200464.000000,10283793664,157059,255.911530,482,1091,28659350,0.000000,24195.439453,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.010000,256,256,1,0,1,0,blocking_G_144_b_256_B_256_a_5_m_1_t_0.01_p_1_g_0_r_0_F_1,1024,1,3,0,16,74680432.000000,10493.000000,74345152.000000,10169316514,155307,255.907822,450,1080,25277069,0.000181,24713.966797,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.100000,256,256,1,0,1,0,blocking_G_144_b_256_B_256_a_5_m_1_t_0.1_p_1_g_0_r_0_F_1,1024,1,3,0,16,79305632.000000,12156.000000,79159912.000000,9563880192,146053,255.909653,434,936,28828879,0.014481,24485.964844,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.200000,256,256,1,0,1,0,blocking_G_144_b_256_B_256_a_5_m_1_t_0.2_p_1_g_0_r_0_F_1,1024,1,3,0,16,97640344.000000,27153.000000,97237432.000000,9750972160,148903,255.914688,434,1331,32670945,0.038282,20505.343750,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.400000,256,256,1,0,1,0,blocking_G_144_b_256_B_256_a_5_m_1_t_0.4_p_1_g_0_r_0_F_1,1024,1,3,0,16,77730704.000000,83328.000000,77496096.000000,10068897280,153764,255.902573,434,39898,26387919,0.144945,21837.056641,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.600000,256,256,1,0,1,0,blocking_G_144_b_256_B_256_a_5_m_1_t_0.6_p_1_g_0_r_0_F_1,1024,1,3,0,16,47633800.000000,109075.000000,47451292.000000,10442696192,159485,255.899933,456,77468,16808320,0.155601,20710.630859,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.800000,256,256,1,0,1,0,blocking_G_144_b_256_B_256_a_5_m_1_t_0.8_p_1_g_0_r_0_F_1,1024,1,3,0,16,3319572.000000,124919.000000,3312059.000000,10693769122,163322,255.910858,469,141362,1370153,0.136524,10277.038086,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,2,0.000000,512,512,1,0,1,0,blocking_G_144_b_512_B_512_a_2_t_0_p__g__r__F_1,1024,1,3,0,16,0.000000,0.000000,0.000000,12821409698,49148,510.661865,260,0,0,0.000000,0.000000,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.001000,512,512,1,0,1,0,blocking_G_144_b_512_B_512_a_5_m_1_t_0.001_p_1_g_0_r_0_F_1,1024,1,3,0,16,64455208.000000,11669.000000,64299272.000000,13346098594,51124,510.935608,274,1827,13887021,0.000000,26076.302734,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.010000,512,512,1,0,1,0,blocking_G_144_b_512_B_512_a_5_m_1_t_0.01_p_1_g_0_r_0_F_1,1024,1,3,0,16,59862360.000000,8491.000000,59719560.000000,13333753250,51086,510.843689,275,1524,12844893,0.000633,24742.738281,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.100000,512,512,1,0,1,0,blocking_G_144_b_512_B_512_a_5_m_1_t_0.1_p_1_g_0_r_0_F_1,1024,1,3,0,16,64882864.000000,10932.000000,64765008.000000,13062268322,50039,510.935791,260,1756,14581631,0.002275,26387.916016,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.200000,512,512,1,0,1,0,blocking_G_144_b_512_B_512_a_5_m_1_t_0.2_p_1_g_0_r_0_F_1,1024,1,3,0,16,76097512.000000,14694.000000,75935120.000000,12871206818,49313,510.890594,254,1709,16585062,0.014003,26502.126953,0.000000,0.000000,
data/suitesparse_big//144.mtx,144605,144650,2148231,1,5,0.400000,512,512,1,0,1,0,blocking_G_144_b_512_B_512_a_5_m_1_t_0.4_p_1_g_0_r_0_F_1,1024,1,3,0,16,57916344.000000,50527.000000,57792328.000000,13108933538,50246,510.644775,253,35431,13449969,0.117046,21541.228516,0.000000,0.000000,
