matrix,row_block_size,col_block_size,tau
data/suitesparse_all//208bit.mtx,64,64,0.2
data/suitesparse_all//208bit.mtx,256,256,0.001
data/suitesparse_all//208bit.mtx,512,512,0.001
data/suitesparse_all//208bit.mtx,1024,1024,0.01
data/suitesparse_all//2D_27628_bjtcai.mtx,64,64,-1.0
data/suitesparse_all//2D_27628_bjtcai.mtx,256,256,0.8
data/suitesparse_all//2D_27628_bjtcai.mtx,512,512,0.6
data/suitesparse_all//2D_27628_bjtcai.mtx,1024,1024,0.2
data/suitesparse_all//2D_54019_highK.mtx,64,64,0.8
data/suitesparse_all//2D_54019_highK.mtx,256,256,-1.0
data/suitesparse_all//2D_54019_highK.mtx,512,512,-1.0
data/suitesparse_all//2D_54019_highK.mtx,1024,1024,-1.0
data/suitesparse_all//2cubes_sphere.mtx,64,64,0.2
data/suitesparse_all//2cubes_sphere.mtx,256,256,0.2
data/suitesparse_all//2cubes_sphere.mtx,512,512,0.2
data/suitesparse_all//2cubes_sphere.mtx,1024,1024,0.2
data/suitesparse_all//3D_28984_Tetra.mtx,64,64,-1.0
data/suitesparse_all//3D_28984_Tetra.mtx,256,256,-1.0
data/suitesparse_all//3D_28984_Tetra.mtx,512,512,-1.0
data/suitesparse_all//3D_28984_Tetra.mtx,1024,1024,-1.0
data/suitesparse_all//3D_51448_3D.mtx,64,64,-1.0
data/suitesparse_all//3D_51448_3D.mtx,256,256,-1.0
data/suitesparse_all//3D_51448_3D.mtx,512,512,-1.0
data/suitesparse_all//3D_51448_3D.mtx,1024,1024,-1.0
data/suitesparse_all//3dtube.mtx,64,64,0.2
data/suitesparse_all//3dtube.mtx,256,256,0.8
data/suitesparse_all//3dtube.mtx,512,512,-1.0
data/suitesparse_all//3dtube.mtx,1024,1024,-1.0
data/suitesparse_all//ABACUS_shell_hd.mtx,64,64,-1.0
data/suitesparse_all//ABACUS_shell_hd.mtx,256,256,0.4
data/suitesparse_all//ABACUS_shell_hd.mtx,512,512,-1.0
data/suitesparse_all//ABACUS_shell_hd.mtx,1024,1024,-1.0
data/suitesparse_all//ABACUS_shell_ld.mtx,64,64,-1.0
data/suitesparse_all//ABACUS_shell_ld.mtx,256,256,0.4
data/suitesparse_all//ABACUS_shell_ld.mtx,512,512,-1.0
data/suitesparse_all//ABACUS_shell_ld.mtx,1024,1024,-1.0
data/suitesparse_all//ABACUS_shell_md.mtx,64,64,-1.0
data/suitesparse_all//ABACUS_shell_md.mtx,256,256,0.4
data/suitesparse_all//ABACUS_shell_md.mtx,512,512,-1.0
data/suitesparse_all//ABACUS_shell_md.mtx,1024,1024,-1.0
data/suitesparse_all//ABACUS_shell_ud.mtx,64,64,-1.0
data/suitesparse_all//ABACUS_shell_ud.mtx,256,256,0.4
data/suitesparse_all//ABACUS_shell_ud.mtx,512,512,-1.0
data/suitesparse_all//ABACUS_shell_ud.mtx,1024,1024,-1.0
data/suitesparse_all//ACTIVSg10K.mtx,64,64,0.2
data/suitesparse_all//ACTIVSg10K.mtx,256,256,0.01
data/suitesparse_all//ACTIVSg10K.mtx,512,512,0.001
data/suitesparse_all//ACTIVSg10K.mtx,1024,1024,0.001
data/suitesparse_all//ASIC_100k.mtx,64,64,0.2
data/suitesparse_all//ASIC_100k.mtx,256,256,-1.0
data/suitesparse_all//ASIC_100k.mtx,512,512,-1.0
data/suitesparse_all//ASIC_100k.mtx,1024,1024,0.001
data/suitesparse_all//Andrews.mtx,64,64,0.2
data/suitesparse_all//Andrews.mtx,256,256,0.01
data/suitesparse_all//Andrews.mtx,512,512,0.01
data/suitesparse_all//Andrews.mtx,1024,1024,-1.0
data/suitesparse_all//Chebyshev4.mtx,64,64,-1.0
data/suitesparse_all//Chebyshev4.mtx,256,256,0.2
data/suitesparse_all//Chebyshev4.mtx,512,512,0.2
data/suitesparse_all//Chebyshev4.mtx,1024,1024,-1.0
data/suitesparse_all//Chevron1.mtx,64,64,0.4
data/suitesparse_all//Chevron1.mtx,256,256,-1.0
data/suitesparse_all//Chevron1.mtx,512,512,-1.0
data/suitesparse_all//Chevron1.mtx,1024,1024,0.001
data/suitesparse_all//Dubcova2.mtx,64,64,0.1
data/suitesparse_all//Dubcova2.mtx,256,256,0.1
data/suitesparse_all//Dubcova2.mtx,512,512,0.1
data/suitesparse_all//Dubcova2.mtx,1024,1024,0.1
data/suitesparse_all//EAT_RS.mtx,64,64,0.6
data/suitesparse_all//EAT_RS.mtx,256,256,0.2
data/suitesparse_all//EAT_RS.mtx,512,512,0.1
data/suitesparse_all//EAT_RS.mtx,1024,1024,0.001
data/suitesparse_all//EAT_SR.mtx,64,64,0.01
data/suitesparse_all//EAT_SR.mtx,256,256,0.001
data/suitesparse_all//EAT_SR.mtx,512,512,0.01
data/suitesparse_all//EAT_SR.mtx,1024,1024,0.001
data/suitesparse_all//F2.mtx,64,64,0.2
data/suitesparse_all//F2.mtx,256,256,0.1
data/suitesparse_all//F2.mtx,512,512,0.001
data/suitesparse_all//F2.mtx,1024,1024,-1.0
data/suitesparse_all//G_n_pin_pout.mtx,64,64,-1.0
data/suitesparse_all//G_n_pin_pout.mtx,256,256,0.01
data/suitesparse_all//G_n_pin_pout.mtx,512,512,0.01
data/suitesparse_all//G_n_pin_pout.mtx,1024,1024,0.001
data/suitesparse_all//Ga3As3H12.mtx,64,64,0.8
