matrix,row_block_size,col_block_size,tau
data/rmats/rmatDN//N_13_x_2.el,64,64,0.1
data/rmats/rmatDN//N_13_x_2.el,128,128,0.1
data/rmats/rmatDN//N_13_x_2.el,256,256,0.001
data/rmats/rmatDN//N_13_x_2.el,512,512,0.001
data/rmats/rmatDN//N_13_x_2.el,1024,1024,0.001
data/rmats/rmatDN//N_13_x_3.el,64,64,0.4
data/rmats/rmatDN//N_13_x_3.el,128,128,0.2
data/rmats/rmatDN//N_13_x_3.el,256,256,0.2
data/rmats/rmatDN//N_13_x_3.el,512,512,0.1
data/rmats/rmatDN//N_13_x_3.el,1024,1024,0.01
data/rmats/rmatDN//N_14_x_2.el,64,64,0.2
data/rmats/rmatDN//N_14_x_2.el,128,128,0.01
data/rmats/rmatDN//N_14_x_2.el,256,256,0.001
data/rmats/rmatDN//N_14_x_2.el,512,512,0.01
data/rmats/rmatDN//N_14_x_2.el,1024,1024,0.001
data/rmats/rmatDN//N_14_x_3.el,64,64,0.1
data/rmats/rmatDN//N_14_x_3.el,128,128,0.2
data/rmats/rmatDN//N_14_x_3.el,256,256,0.1
data/rmats/rmatDN//N_14_x_3.el,512,512,0.2
data/rmats/rmatDN//N_14_x_3.el,1024,1024,0.001
data/rmats/rmatDN//N_14_x_4.el,64,64,0.2
data/rmats/rmatDN//N_14_x_4.el,128,128,0.1
data/rmats/rmatDN//N_14_x_4.el,256,256,0.1
data/rmats/rmatDN//N_14_x_4.el,512,512,0.001
data/rmats/rmatDN//N_14_x_4.el,1024,1024,0.2
data/rmats/rmatDN//N_15_x_2.el,64,64,0.2
data/rmats/rmatDN//N_15_x_2.el,128,128,0.001
data/rmats/rmatDN//N_15_x_2.el,256,256,0.001
data/rmats/rmatDN//N_15_x_2.el,512,512,0.1
data/rmats/rmatDN//N_15_x_2.el,1024,1024,0.001
data/rmats/rmatDN//N_15_x_3.el,64,64,0.4
data/rmats/rmatDN//N_15_x_3.el,128,128,0.1
data/rmats/rmatDN//N_15_x_3.el,256,256,0.01
data/rmats/rmatDN//N_15_x_3.el,512,512,0.2
data/rmats/rmatDN//N_15_x_3.el,1024,1024,0.1
data/rmats/rmatDN//N_15_x_4.el,64,64,0.1
data/rmats/rmatDN//N_15_x_4.el,128,128,0.1
data/rmats/rmatDN//N_15_x_4.el,256,256,0.001
data/rmats/rmatDN//N_15_x_4.el,512,512,0.01
data/rmats/rmatDN//N_15_x_4.el,1024,1024,0.01
data/rmats/rmatDN//N_16_x_2.el,64,64,0.1
data/rmats/rmatDN//N_16_x_2.el,128,128,0.1
data/rmats/rmatDN//N_16_x_2.el,256,256,0.1
data/rmats/rmatDN//N_16_x_2.el,512,512,0.2
data/rmats/rmatDN//N_16_x_2.el,1024,1024,0.001
data/rmats/rmatDN//N_16_x_3.el,64,64,0.1
data/rmats/rmatDN//N_16_x_3.el,128,128,0.01
data/rmats/rmatDN//N_16_x_3.el,256,256,0.01
data/rmats/rmatDN//N_16_x_3.el,512,512,0.001
data/rmats/rmatDN//N_16_x_3.el,1024,1024,0.01
data/rmats/rmatDN//N_16_x_4.el,64,64,0.2
data/rmats/rmatDN//N_16_x_4.el,128,128,0.01
data/rmats/rmatDN//N_16_x_4.el,256,256,0.001
data/rmats/rmatDN//N_16_x_4.el,512,512,0.2
data/rmats/rmatDN//N_16_x_4.el,1024,1024,0.001
